#timestamp x y z qx qy qz qw
197.568000 2.641419 -3.377611 2.120051 -0.528694 0.541012 -0.512869 0.405900
198.572000 2.983150 -3.451675 2.103239 0.554054 -0.520295 0.485667 -0.431793
199.668000 3.345903 -3.474764 2.075360 0.579604 -0.495754 0.457050 -0.457595
200.668000 3.684314 -3.546073 2.020007 0.599717 -0.472076 0.425367 -0.486360
201.668000 4.004035 -3.500199 1.982023 -0.620450 0.447529 -0.399032 0.505504
202.668000 4.315999 -3.458047 1.918796 -0.638453 0.420840 -0.368466 0.528681
203.668000 4.620045 -3.370861 1.876528 -0.656637 0.396241 -0.334700 0.547536
204.668000 4.880526 -3.223730 1.801150 -0.671918 0.366754 -0.303150 0.567553
205.668000 5.148314 -3.050591 1.753773 -0.686809 0.340178 -0.268379 0.583562
206.668000 5.393495 -2.839705 1.692846 -0.699208 0.312560 -0.234681 0.598615
207.668000 5.581140 -2.601243 1.628825 -0.709751 0.278496 -0.204333 0.613955
208.668000 5.808814 -2.358297 1.577803 -0.719754 0.248289 -0.167179 0.626385
209.668000 6.011318 -2.076595 1.518681 -0.727388 0.217239 -0.131883 0.637433
210.680000 6.197708 -1.771897 1.464531 -0.732076 0.186474 -0.094734 0.648319
211.680000 6.365035 -1.454048 1.439170 -0.736098 0.156560 -0.056007 0.656134
212.680000 6.530804 -1.112998 1.429676 -0.739888 0.125769 -0.016078 0.660674
213.680000 6.681355 -0.775870 1.415303 -0.740653 0.095640 0.023868 0.664618
214.680000 6.762527 -0.451059 1.409263 -0.738648 0.060475 0.056774 0.668968
215.692000 6.821770 -0.133012 1.389996 -0.733944 0.027980 0.092771 0.672263
216.788000 6.829027 0.223253 1.396196 -0.727931 -0.010499 0.129388 0.673250
217.788000 6.847693 0.572876 1.445736 -0.722745 -0.042681 0.167777 0.669080
218.788000 6.807629 0.908930 1.486001 -0.713938 -0.074895 0.205011 0.665323
219.792000 6.715290 1.210627 1.510497 -0.700517 -0.107458 0.240293 0.663315
220.888000 6.581986 1.547190 1.564593 -0.686978 -0.142784 0.279926 0.655222
221.892000 6.419661 1.805148 1.589312 -0.671230 -0.175848 0.312318 0.648834
222.988000 6.216072 2.063073 1.625380 -0.652553 -0.210854 0.346650 0.639959
